material_id;topo_class;sub_class;cross_type
mp-569246;trivial*;LCEBR†;
mp-569508;SM*;ES†;Line
mp-570199;TI*;NLC†;
mp-570670;SM*;ES†;Line
mp-608517;SM*;ES†;Plane
mp-638261;trivial*;LCEBR†;
mp-642740;trivial*;LCEBR†;
mp-6520;SM*;ES†;Line
mp-698454;SM*;ESFD†;Point
mp-7181;trivial*;LCEBR†;
mp-7232;trivial*;LCEBR†;
mp-7250;SM*;ESFD†;Point
mp-7331;trivial*;LCEBR†;
mp-7439;trivial*;LCEBR†;
mp-752475;trivial*;LCEBR†;
mp-7600;TI*;SEBR†;
mp-7886;trivial*;LCEBR†;
mp-7897;trivial*;LCEBR†;
mp-8020;SM*;ESFD†;Point
mp-921;SM*;ESFD†;Point
mp-9400;SM*;ES†;Line
mp-9698;trivial*;LCEBR†;
mp-9804;trivial*;LCEBR†;
mp-999291;SM*;ESFD†;Point
mp-10055;TI*;SEBR†;
mp-10057;SM*;ESFD†;Point
mp-10093;SM*;ESFD†;Point
mp-10097;trivial*;LCEBR†;
mp-1018275;TI*;SEBR†;
mp-1018725;SM*;ESFD†;Point
mp-1019519;SM*;ESFD†;Point
mp-10381;trivial*;LCEBR†;
mp-10489;trivial*;LCEBR†;
mp-10621;trivial*;LCEBR†;
mp-107;TI*;SEBR†;
mp-11054;trivial*;LCEBR†;
mp-11168;trivial*;LCEBR†;
mp-11457;SM*;ESFD†;Point
mp-11667;SM*;ES†;Line
mp-1259;SM*;ESFD†;Point
mp-128;trivial*;LCEBR†;
mp-12883;trivial*;LCEBR†;
mp-12902;SM*;ESFD†;Point
mp-13502;trivial*;LCEBR†;
mp-1392;trivial*;LCEBR†;
mp-142;TI*;SEBR†;
mp-14322;SM*;ES†;Line
mp-146;SM*;ESFD†;Point
mp-1533;SM*;ESFD†;Point
mp-15679;TI*;SEBR†;
mp-15839;SM*;ESFD†;Point
mp-16037;SM*;ES†;Line
mp-1645;SM*;ESFD†;Point
mp-16520;SM*;ESFD†;Point
mp-16524;SM*;ESFD†;Point
mp-1739;TI*;SEBR†;
mp-18500;trivial*;LCEBR†;
mp-18652;SM*;ES†;Line
mp-18731;TI*;NLC†;
mp-18843;SM*;ESFD†;Point
mp-19079;SM*;ESFD†;Point
mp-19163;trivial*;LCEBR†;
mp-1933;trivial*;LCEBR†;
mp-19338;SM*;ESFD†;Point
mp-19833;trivial*;LCEBR†;
mp-19856;TI*;SEBR†;
mp-20115;SM*;ESFD†;Point
mp-20152;SM*;ESFD†;Point
mp-20226;SM*;ES†;Plane
mp-20396;trivial*;LCEBR†;
mp-20898;SM*;ESFD†;Point
mp-21239;trivial*;LCEBR†;
mp-21272;SM*;ESFD†;Point
mp-22035;SM*;ESFD†;Point
mp-2206;SM*;ESFD†;Point
mp-22165;SM*;ES†;Line
mp-22189;trivial*;LCEBR†;
mp-22722;SM*;ES†;Plane
mp-22782;trivial*;LCEBR†;
mp-23119;SM*;ESFD†;Point
mp-23184;trivial*;LCEBR†;
mp-2378;SM*;ES†;Line
mp-24131;SM*;ESFD†;Point
mp-24461;trivial*;LCEBR†;
mp-2525;TI*;SEBR†;
mp-27228;trivial*;LCEBR†;
mp-27252;trivial*;LCEBR†;
mp-2750;TI*;SEBR†;
mp-27832;trivial*;LCEBR†;
mp-28158;trivial*;LCEBR†;
mp-28809;trivial*;LCEBR†;
mp-29062;trivial*;LCEBR†;
mp-29139;trivial*;LCEBR†;
mp-29179;trivial*;LCEBR†;
mp-2951;trivial*;LCEBR†;
mp-29630;trivial*;LCEBR†;
mp-30472;SM*;ESFD†;Point
mp-30683;TI*;NLC†;
mp-30923;TI*;NLC†;
mp-30980;trivial*;LCEBR†;
mp-31454;trivial*;LCEBR†;
mp-3191;SM*;ESFD†;Point
mp-3208;SM*;ES†;Line
mp-3489;SM*;ES†;Line
mp-400;SM*;ES†;Line
mp-4081;trivial*;LCEBR†;
mp-4289;SM*;ES†;Line
mp-4913;TI*;SEBR†;
mp-5157;TI*;SEBR†;
mp-5186;SM*;ES†;Plane
mp-525;SM*;ESFD†;Point
mp-542587;TI*;NLC†;
mp-542739;SM*;ESFD†;Point
mp-542791;trivial*;LCEBR†;
mp-545344;SM*;ESFD†;Point
mp-556146;trivial*;LCEBR†;
mp-556939;TI*;NLC†;
mp-558126;trivial*;LCEBR†;
mp-558982;trivial*;LCEBR†;
mp-559151;trivial*;LCEBR†;
mp-559765;trivial*;LCEBR†;
mp-560625;trivial*;LCEBR†;
mp-568692;trivial*;LCEBR†;
mp-568895;SM*;ES†;Line
mp-570100;SM*;ESFD†;Point
mp-571538;trivial*;LCEBR†;
mp-573855;SM*;ESFD†;Point
mp-574369;SM*;ESFD†;Point
mp-590;SM*;ESFD†;Point
mp-592;TI*;SEBR†;
mp-6119;TI*;SEBR†;
mp-634418;trivial*;LCEBR†;
mp-643248;trivial*;LCEBR†;
mp-644424;SM*;ESFD†;Point
mp-650532;trivial*;LCEBR†;
mp-6586;trivial*;LCEBR†;
mp-672267;SM*;ES†;Line
mp-690702;trivial*;LCEBR†;
mp-696;TI*;NLC†;
mp-696174;trivial*;LCEBR†;
mp-708;TI*;SEBR†;
mp-723;TI*;SEBR†;
mp-7234;SM*;ESFD†;Point
mp-7283;TI*;NLC†;
mp-7500;trivial*;LCEBR†;
mp-7564;SM*;ESFD†;Point
mp-7631;trivial*;LCEBR†;
mp-770948;SM*;ESFD†;Point
mp-7880;SM*;ES†;Line
mp-790;SM*;ESFD†;Point
mp-7983;trivial*;LCEBR†;
mp-8037;trivial*;LCEBR†;
mp-8042;trivial*;LCEBR†;
mp-817;TI*;SEBR†;
mp-8182;SM*;ESFD†;Point
mp-8253;trivial*;LCEBR†;
mp-8398;TI*;SEBR†;
mp-861868;trivial*;LCEBR†;
mp-894;SM*;ES†;Line
mp-945077;SM*;ESFD†;Point
mp-948;SM*;ESFD†;Point
mp-9562;trivial*;LCEBR†;
mp-974769;SM*;ESFD†;Point
mp-9793;trivial*;LCEBR†;
mp-9905;TI*;NLC†;
mp-1008471;trivial*;LCEBR†;
mp-1017982;SM*;ES†;Line
mp-1019279;SM*;ES†;Line
mp-10503;TI*;SEBR†;
mp-10641;TI*;NLC†;
mp-11169;SM*;ES†;Line
mp-11277;SM*;ESFD†;Point
mp-11400;SM*;ESFD†;Point
mp-1148;SM*;ES†;Line
mp-11548;SM*;ESFD†;Point
mp-11644;SM*;ES†;Line
mp-12368;trivial*;LCEBR†;
mp-12504;TI*;NLC†;
mp-12751;trivial*;LCEBR†;
mp-1307;trivial*;LCEBR†;
mp-13650;trivial*;LCEBR†;
mp-1418;SM*;ESFD†;Point
mp-1458;SM*;ESFD†;Point
mp-14624;trivial*;LCEBR†;
mp-1508;trivial*;LCEBR†;
mp-15222;trivial*;LCEBR†;
mp-15604;SM*;ES†;Line
mp-1659;SM*;ES†;Line
mp-16745;SM*;ESFD†;Point
mp-1691;TI*;SEBR†;
mp-1704;SM*;ESFD†;Point
mp-17244;trivial*;LCEBR†;
mp-1837;SM*;ESFD†;Point
mp-1857;SM*;ESFD†;Point
mp-18799;SM*;ESFD†;Point
mp-18835;trivial*;LCEBR†;
mp-19215;trivial*;LCEBR†;
mp-20213;SM*;ESFD†;Point
mp-2059;trivial*;LCEBR†;
mp-20608;SM*;ESFD†;Point
mp-21464;SM*;ES†;Plane
mp-21489;trivial*;LCEBR†;
mp-21589;SM*;ESFD†;Point
mp-22012;SM*;ESFD†;Point
mp-22397;SM*;ES†;Line
mp-22419;TI*;SEBR†;
mp-22860;TI*;SEBR†;
mp-22866;SM*;ES†;Line
mp-22957;trivial*;LCEBR†;
mp-23054;trivial*;LCEBR†;
mp-23151;trivial*;LCEBR†;
mp-23188;SM*;ESFD†;Point
mp-23217;SM*;ES†;Line
mp-23450;trivial*;LCEBR†;
mp-23492;trivial*;LCEBR†;
mp-23703;trivial*;LCEBR†;
mp-2375;SM*;ESFD†;Point
mp-24287;SM*;ESFD†;Point
mp-2449;TI*;SEBR†;
mp-2499;TI*;SEBR†;
mp-2542;trivial*;LCEBR†;
mp-2622;SM*;ESFD†;Point
mp-27171;trivial*;LCEBR†;
mp-27440;TI*;SEBR†;
mp-27441;trivial*;LCEBR†;
mp-27450;trivial*;LCEBR†;
mp-27702;trivial*;LCEBR†;
mp-27797;SM*;ESFD†;Point
mp-27828;trivial*;LCEBR†;
mp-28248;trivial*;LCEBR†;
mp-28416;TI*;SEBR†;
mp-28490;trivial*;LCEBR†;
mp-28610;trivial*;LCEBR†;
mp-2877;TI*;SEBR†;
mp-28810;trivial*;LCEBR†;
mp-29151;trivial*;LCEBR†;
mp-29603;trivial*;LCEBR†;
mp-29606;trivial*;LCEBR†;
mp-29772;SM*;ESFD†;Point
mp-30182;SM*;ESFD†;Point
mp-30501;SM*;ES†;Line
mp-30725;SM*;ESFD†;Point
mp-30830;SM*;ESFD†;Point
mp-30885;SM*;ESFD†;Point
mp-30945;trivial*;LCEBR†;
mp-31476;trivial*;LCEBR†;
mp-3370;trivial*;LCEBR†;
mp-3465;TI*;SEBR†;
mp-3583;SM*;ESFD†;Point
mp-3664;SM*;ESFD†;Point
mp-3702;SM*;ESFD†;Point
mp-3788;trivial*;LCEBR†;
mp-3810;trivial*;LCEBR†;
mp-3849;trivial*;LCEBR†;
mp-3909;SM*;ESFD†;Point
mp-4054;trivial*;LCEBR†;
mp-4171;TI*;NLC†;
mp-4280;trivial*;LCEBR†;
mp-4288;SM*;ESFD†;Point
mp-4693;trivial*;LCEBR†;
mp-487;trivial*;LCEBR†;
mp-5004;trivial*;LCEBR†;
mp-5125;TI*;NLC†;
mp-5305;trivial*;LCEBR†;
mp-5330;TI*;SEBR†;
mp-5334;SM*;ES†;Line
mp-540905;trivial*;LCEBR†;
mp-540977;trivial*;LCEBR†;
mp-541911;trivial*;LCEBR†;
mp-542220;trivial*;LCEBR†;
mp-542605;trivial*;LCEBR†;
mp-542635;trivial*;LCEBR†;
mp-545487;trivial*;LCEBR†;
mp-549127;trivial*;LCEBR†;
mp-551758;trivial*;LCEBR†;
mp-552131;trivial*;LCEBR†;
mp-554139;trivial*;LCEBR†;
mp-555186;trivial*;LCEBR†;
mp-556275;trivial*;LCEBR†;
mp-556532;trivial*;LCEBR†;
mp-556582;SM*;ESFD†;Point
mp-556821;trivial*;LCEBR†;
mp-5588;trivial*;LCEBR†;
mp-560886;trivial*;LCEBR†;
mp-567317;SM*;ES†;Line
mp-568539;SM*;ESFD†;Point
mp-569;SM*;ESFD†;Point
mp-569384;TI*;SEBR†;
mp-5720;SM*;ESFD†;Point
mp-580962;trivial*;LCEBR†;
mp-581024;trivial*;LCEBR†;
mp-5821;TI*;NLC†;
mp-5858;trivial*;LCEBR†;
mp-5899;SM*;ESFD†;Point
mp-5970;trivial*;LCEBR†;
mp-632693;TI*;NLC†;
mp-639154;SM*;ESFD†;Point
mp-639526;TI*;NLC†;
mp-662;SM*;ES†;Line
mp-672290;SM*;ES†;Line
mp-675769;trivial*;LCEBR†;
mp-676040;trivial*;LCEBR†;
mp-677105;trivial*;LCEBR†;
mp-6938;SM*;ESFD†;Point
mp-7079;trivial*;LCEBR†;
mp-7124;SM*;ES†;Plane
mp-7224;trivial*;LCEBR†;
mp-723483;trivial*;LCEBR†;
mp-7432;trivial*;LCEBR†;
mp-7441;trivial*;LCEBR†;
mp-7558;SM*;ESFD†;Point
mp-7752;trivial*;LCEBR†;
mp-7906;trivial*;LCEBR†;
mp-8000;trivial*;LCEBR†;
mp-8217;trivial*;LCEBR†;
mp-8415;trivial*;LCEBR†;
mp-864603;trivial*;LCEBR†;
mp-8799;trivial*;LCEBR†;
mp-9251;trivial*;LCEBR†;
mp-9791;trivial*;LCEBR†;
mp-9798;trivial*;LCEBR†;
mp-9828;SM*;ESFD†;Point
mp-999576;SM*;ESFD†;Point
mp-1002133;TI*;SEBR†;
mp-1018818;SM*;ESFD†;Point
mp-10421;trivial*;LCEBR†;
mp-10492;trivial*;LCEBR†;
mp-10532;SM*;ESFD†;Point
mp-10670;TI*;SEBR†;
mp-109;TI*;SEBR†;
mp-11207;TI*;SEBR†;
mp-11287;SM*;ES†;Line
mp-1168;TI*;NLC†;
mp-12065;SM*;ESFD†;Point
mp-12948;trivial*;LCEBR†;
mp-13005;SM*;ESFD†;Point
mp-13406;SM*;ES†;Line
mp-13435;TI*;NLC†;
mp-13676;trivial*;LCEBR†;
mp-1379;trivial*;LCEBR†;
mp-13829;trivial*;LCEBR†;
mp-13967;SM*;ESFD†;Point
mp-14168;trivial*;LCEBR†;
mp-1552;TI*;NLC†;
mp-15567;trivial*;LCEBR†;
mp-16280;trivial*;LCEBR†;
mp-16513;SM*;ESFD†;Point
mp-16548;SM*;ESFD†;Point
mp-1707;trivial*;LCEBR†;
mp-17262;TI*;NLC†;
mp-1730;TI*;SEBR†;
mp-17539;trivial*;LCEBR†;
mp-17615;SM*;ESFD†;Point
mp-17639;TI*;SEBR†;
mp-1773;SM*;ESFD†;Point
mp-1784;trivial*;LCEBR†;
mp-1804;SM*;ES†;Line
mp-18055;SM*;ESFD†;Point
mp-1822;SM*;ES†;Line
mp-19870;SM*;ESFD†;Point
mp-19880;trivial*;LCEBR†;
mp-20137;SM*;ES†;Line
mp-20498;SM*;ES†;Plane
mp-20536;SM*;ESFD†;Point
mp-20543;SM*;ESFD†;Point
mp-2108;TI*;SEBR†;
mp-22158;TI*;NLC†;
mp-22300;SM*;ESFD†;Point
mp-22510;TI*;NLC†;
mp-22537;TI*;SEBR†;
mp-22543;SM*;ESFD†;Point
mp-22609;SM*;ESFD†;Point
mp-22620;SM*;ESFD†;Point
mp-2264;trivial*;LCEBR†;
mp-22672;SM*;ES†;Line
mp-2373;SM*;ESFD†;Point
mp-23885;trivial*;LCEBR†;
mp-23957;trivial*;LCEBR†;
mp-24130;trivial*;LCEBR†;
mp-2426;TI*;SEBR†;
mp-2439;SM*;ES†;Line
mp-24534;trivial*;LCEBR†;
mp-2547;TI*;SEBR†;
mp-2573;SM*;ESFD†;Point
mp-2634;SM*;ES†;Line
mp-2663;SM*;ESFD†;Point
mp-27655;trivial*;LCEBR†;
mp-27896;trivial*;LCEBR†;
mp-28222;trivial*;LCEBR†;
mp-28277;TI*;NLC†;
mp-2832;TI*;SEBR†;
mp-28513;trivial*;LCEBR†;
mp-29012;trivial*;LCEBR†;
mp-29286;trivial*;LCEBR†;
mp-29622;TI*;SEBR†;
mp-29631;SM*;ESFD†;Point
mp-29878;trivial*;LCEBR†;
mp-30139;trivial*;LCEBR†;
mp-30212;SM*;ESFD†;Point
mp-30437;TI*;NLC†;
mp-3104;trivial*;LCEBR†;
mp-31091;SM*;ES†;Line
mp-31487;trivial*;LCEBR†;
mp-31496;SM*;ESFD†;Point
mp-3179;SM*;ESFD†;Point
mp-3376;trivial*;LCEBR†;
mp-35078;trivial*;LCEBR†;
mp-353;SM*;ES†;Line
mp-3762;trivial*;LCEBR†;
mp-3930;SM*;ESFD†;Point
mp-4482;trivial*;LCEBR†;
mp-4709;trivial*;LCEBR†;
mp-4789;TI*;NLC†;
mp-4802;SM*;ESFD†;Point
mp-4973;SM*;ESFD†;Point
mp-510278;trivial*;LCEBR†;
mp-540747;SM*;ESFD†;Point
mp-542461;trivial*;LCEBR†;
mp-5489;trivial*;LCEBR†;
mp-555682;trivial*;LCEBR†;
mp-555901;SM*;ESFD†;Point
mp-557574;trivial*;LCEBR†;
mp-558046;SM*;ES†;Plane
mp-558054;trivial*;LCEBR†;
mp-559469;trivial*;LCEBR†;
mp-560493;trivial*;LCEBR†;
mp-561018;trivial*;LCEBR†;
mp-561034;trivial*;LCEBR†;
mp-561122;trivial*;LCEBR†;
mp-561470;trivial*;LCEBR†;
mp-561518;trivial*;LCEBR†;
mp-568823;SM*;ESFD†;Point
mp-568912;SM*;ESFD†;Point
mp-569424;TI*;SEBR†;
mp-569834;SM*;ESFD†;Point
mp-571011;trivial*;LCEBR†;
mp-571069;TI*;SEBR†;
mp-571297;trivial*;LCEBR†;
mp-579536;trivial*;LCEBR†;
mp-601823;SM*;ESFD†;Point
mp-6036;SM*;ESFD†;Point
mp-607;SM*;ES†;Line
mp-607230;SM*;ES†;Plane
mp-616641;SM*;ES†;Plane
mp-623261;SM*;ES†;Plane
mp-637308;TI*;SEBR†;
mp-643259;trivial*;LCEBR†;
mp-644143;TI*;NLC†;
mp-647629;TI*;NLC†;
mp-6847;SM*;ESFD†;Point
mp-7104;trivial*;LCEBR†;
mp-7163;SM*;ESFD†;Point
mp-717;trivial*;LCEBR†;
mp-7394;trivial*;LCEBR†;
mp-7554;SM*;ES†;Line
mp-7567;TI*;SEBR†;
mp-7618;trivial*;LCEBR†;
mp-7650;trivial*;LCEBR†;
mp-7778;SM*;ESFD†;Point
mp-781625;trivial*;LCEBR†;
mp-8081;trivial*;LCEBR†;
mp-8580;TI*;SEBR†;
mp-973666;TI*;SEBR†;
mp-9740;TI*;NLC†;
mp-976713;TI*;NLC†;
mp-978987;trivial*;LCEBR†;
mp-1000;trivial*;LCEBR†;
mp-1001012;trivial*;LCEBR†;
mp-10092;SM*;ESFD†;Point
mp-1009545;TI*;SEBR†;
mp-1018120;SM*;ESFD†;Point
mp-1018706;TI*;NLC†;
mp-1018814;SM*;ESFD†;Point
mp-1018902;trivial*;LCEBR†;
mp-10231;SM*;ES†;Line
mp-10504;SM*;ESFD†;Point
mp-1061;SM*;ESFD†;Point
mp-10711;SM*;ESFD†;Point
mp-10950;SM*;ESFD†;Point
mp-11328;trivial*;LCEBR†;
mp-12681;SM*;ES†;Line
mp-12919;SM*;ESFD†;Point
mp-14128;trivial*;LCEBR†;
mp-1413;trivial*;LCEBR†;
mp-15965;SM*;ES†;Line
mp-1727;trivial*;LCEBR†;
mp-17449;trivial*;LCEBR†;
mp-1751;SM*;ESFD†;Point
mp-17599;SM*;ESFD†;Point
mp-1780;TI*;NLC†;
mp-18449;trivial*;LCEBR†;
mp-19177;trivial*;LCEBR†;
mp-20197;SM*;ESFD†;Point
mp-20222;trivial*;LCEBR†;
mp-20817;trivial*;LCEBR†;
mp-20883;SM*;ES†;Line
mp-21156;SM*;ESFD†;Point
mp-2129;TI*;SEBR†;
mp-21468;SM*;ESFD†;Point
mp-22490;SM*;ESFD†;Point
mp-23446;trivial*;LCEBR†;
mp-23484;trivial*;LCEBR†;
mp-2473;TI*;SEBR†;
mp-2554;SM*;ES†;Line
mp-2674;SM*;ESFD†;Point
mp-27178;trivial*;LCEBR†;
mp-27283;trivial*;LCEBR†;
mp-2754;SM*;ESFD†;Point
mp-28056;SM*;ESFD†;Point
mp-28242;trivial*;LCEBR†;
mp-28529;trivial*;LCEBR†;
mp-28613;SM*;ES†;Line
mp-29149;trivial*;LCEBR†;
mp-29250;SM*;ESFD†;Point
mp-29596;trivial*;LCEBR†;
mp-30482;SM*;ESFD†;Point
mp-30997;trivial*;LCEBR†;
mp-423;SM*;ES†;Line
mp-5048;trivial*;LCEBR†;
mp-505562;SM*;ESFD†;Point
mp-505600;SM*;ESFD†;Point
mp-510657;trivial*;LCEBR†;
mp-5126;trivial*;LCEBR†;
mp-5132;trivial*;LCEBR†;
mp-5175;trivial*;LCEBR†;
mp-542154;SM*;ESFD†;Point
mp-542573;SM*;ES†;Line
mp-552674;SM*;ES†;Plane
mp-552857;trivial*;LCEBR†;
mp-556660;trivial*;LCEBR†;
mp-556902;trivial*;LCEBR†;
mp-558317;trivial*;LCEBR†;
mp-559889;trivial*;LCEBR†;
mp-560008;trivial*;LCEBR†;
mp-560249;trivial*;LCEBR†;
mp-5603;TI*;SEBR†;
mp-560748;trivial*;LCEBR†;
mp-561182;trivial*;LCEBR†;
mp-568036;trivial*;LCEBR†;
mp-568082;trivial*;LCEBR†;
mp-569296;SM*;ES†;Line
mp-569696;SM*;ESFD†;Point
mp-570972;SM*;ESFD†;Point
mp-6138;trivial*;LCEBR†;
mp-614456;trivial*;LCEBR†;
mp-6356;trivial*;LCEBR†;
mp-636461;trivial*;LCEBR†;
mp-643033;trivial*;LCEBR†;
mp-643793;SM*;ESFD†;Point
mp-6465;TI*;NLC†;
mp-6496;TI*;SEBR†;
mp-652046;trivial*;LCEBR†;
mp-672306;SM*;ES†;Line
mp-672645;SM*;ES†;Plane
mp-680677;trivial*;LCEBR†;
mp-698357;trivial*;LCEBR†;
mp-7350;SM*;ESFD†;Point
mp-757608;trivial*;LCEBR†;
mp-813;SM*;ESFD†;Point
mp-8430;trivial*;LCEBR†;
mp-8742;SM*;ESFD†;Point
mp-8911;trivial*;LCEBR†;
mp-892;SM*;ESFD†;Point
mp-8948;SM*;ESFD†;Point
mp-9398;SM*;ES†;Line
mp-9406;trivial*;LCEBR†;
mp-973938;TI*;NLC†;
mp-976378;SM*;ESFD†;Point
mp-9797;trivial*;LCEBR†;
mp-983565;trivial*;LCEBR†;
mp-1018178;TI*;SEBR†;
mp-10601;SM*;ES†;Line
mp-10728;SM*;ESFD†;Point
mp-10919;trivial*;LCEBR†;
mp-11189;trivial*;LCEBR†;
mp-11252;SM*;ESFD†;Point
mp-11375;SM*;ESFD†;Point
mp-12041;SM*;ESFD†;Point
mp-12181;trivial*;LCEBR†;
mp-12351;SM*;ESFD†;Point
mp-12922;trivial*;LCEBR†;
mp-12952;trivial*;LCEBR†;
mp-1302;SM*;ESFD†;Point
mp-13072;trivial*;LCEBR†;
mp-13588;trivial*;LCEBR†;
mp-1368;SM*;ESFD†;Point
mp-13801;trivial*;LCEBR†;
mp-14089;TI*;SEBR†;
mp-14242;trivial*;LCEBR†;
mp-14411;trivial*;LCEBR†;
mp-1521;SM*;ESFD†;Point
mp-15988;trivial*;LCEBR†;
mp-17567;trivial*;LCEBR†;
mp-17621;trivial*;LCEBR†;
mp-1819;trivial*;LCEBR†;
mp-19151;SM*;ESFD†;Point
mp-20067;SM*;ESFD†;Point
mp-20539;SM*;ES†;Line
mp-20805;trivial*;LCEBR†;
mp-20917;SM*;ES†;Line
mp-21053;SM*;ESFD†;Point
mp-21526;trivial*;LCEBR†;
mp-22031;SM*;ES†;Plane
mp-22075;SM*;ESFD†;Point
mp-2222;SM*;ESFD†;Point
mp-22282;SM*;ESFD†;Point
mp-22306;SM*;ESFD†;Point
mp-22482;SM*;ES†;Line
mp-22636;SM*;ES†;Plane
mp-23235;SM*;ES†;Line
mp-23483;trivial*;LCEBR†;
mp-23712;trivial*;LCEBR†;
mp-239;trivial*;LCEBR†;
mp-2390;SM*;ESFD†;Point
mp-23922;trivial*;LCEBR†;
mp-23956;trivial*;LCEBR†;
mp-2403;SM*;ESFD†;Point
mp-2483;TI*;SEBR†;
mp-2553;SM*;ES†;Line
mp-28954;trivial*;LCEBR†;
mp-29218;trivial*;LCEBR†;
mp-29676;SM*;ESFD†;Point
mp-30004;trivial*;LCEBR†;
mp-30317;trivial*;LCEBR†;
mp-30390;TI*;NLC†;
mp-30600;SM*;ES†;Line
mp-30618;trivial*;LCEBR†;
mp-30769;SM*;ESFD†;Point
mp-30871;SM*;ESFD†;Point
mp-31203;SM*;ESFD†;Point
mp-3218;TI*;SEBR†;
mp-3250;SM*;ESFD†;Point
