id,true,true_score,pred,pred_score
mp-30562,0,0.3517199,1,0.6482801
mp-1025524,0,0.24903785,1,0.7509622
mp-21065,0,0.28238055,1,0.7176194
mp-1006882,0,0.41052654,1,0.5894735
mp-7711,0,0.05591424,1,0.9440858
mp-7753,1,0.4225558,0,0.57744414
mp-11765,0,0.4683869,1,0.5316131
mp-256,1,0.10798408,0,0.892016
mp-30562,0,0.28232977,1,0.7176702
mp-12523,0,0.275744,1,0.724256
mp-16886,0,0.30136365,1,0.6986364
mp-1233,0,0.3141569,1,0.68584317
mp-10056,0,0.004113931,1,0.99588597
mp-546079,0,0.07294539,1,0.9270546
mp-7017,1,0.4974827,0,0.5025173
mp-4852,0,0.41703615,1,0.5829638
mp-11280,1,0.10905558,0,0.8909445
mp-1018133,0,0.35715398,1,0.642846
mp-570698,1,0.42013204,0,0.579868
mp-12523,0,0.2646871,1,0.73531294
mp-10056,0,0.004154501,1,0.99584556
mp-1025524,0,0.23417747,1,0.76582247
mp-15922,1,0.22686344,0,0.7731365
mp-30562,0,0.32279083,1,0.67720914
mp-4883,0,0.438631,1,0.56136894
mp-2462,1,0.24966073,0,0.7503392
mp-570698,1,0.40406153,0,0.5959385
mp-999396,0,0.08010992,1,0.9198901
mp-1968,1,0.25903204,0,0.7409679
mp-2649,1,0.16929668,0,0.8307032
mp-30673,0,0.05681822,1,0.94318175
mp-972659,1,0.37505853,0,0.62494147
mp-24155,1,0.43965352,0,0.5603465
mp-30536,0,0.1437991,1,0.85620093
mp-30536,0,0.25024164,1,0.7497583
mp-256,1,0.12149169,0,0.8785083
mp-568880,1,0.29158625,0,0.7084138
mp-8222,0,0.13350421,1,0.8664958
mp-9350,1,0.047157515,0,0.9528425
mp-559998,1,0.056419626,0,0.9435804
mp-11421,1,0.0040106126,0,0.9959893
mp-5795,1,0.17001775,0,0.82998234
mp-11435,0,0.26354676,1,0.7364533
mp-697179,1,0.14908318,0,0.85091674
mp-10756,0,0.17407699,1,0.8259231
mp-600428,0,0.11447687,1,0.8855232
mp-8037,1,0.13710852,0,0.86289144
mp-972659,1,0.37013572,0,0.6298643
mp-1007778,0,0.20733137,1,0.7926687
mp-9350,1,0.04753862,0,0.95246136
mp-16886,0,0.4695155,1,0.53048456
mp-31502,0,0.37633058,1,0.6236694
mp-19241,0,0.35245806,1,0.64754194
mp-11421,1,0.0074749216,0,0.99252516
mp-12801,0,0.14411512,1,0.85588485
mp-11421,1,0.0050560683,0,0.994944
mp-567416,0,0.48929158,1,0.5107084
mp-569833,1,0.38522446,0,0.6147755
mp-15922,1,0.20186399,0,0.798136
mp-19358,1,0.49961323,0,0.5003868
mp-11421,1,0.008666183,0,0.9913337
mp-30245,0,0.268157,1,0.73184294
mp-1007961,0,0.35815993,1,0.64184004
mp-30562,0,0.27449447,1,0.7255054
mp-12523,0,0.26067677,1,0.73932326
mp-1017552,1,0.47360623,0,0.52639365
mp-1968,1,0.19359945,0,0.8064006
mp-16327,0,0.395605,1,0.60439503
mp-15922,1,0.179559,0,0.82044095
mp-503,1,0.0428757,0,0.95712423
mp-12523,0,0.2632419,1,0.73675805
mp-1068,0,0.15073645,1,0.8492634
mp-1220,1,0.4529879,0,0.54701203
mp-30562,0,0.3455703,1,0.6544297
mp-972659,1,0.43411767,0,0.56588227
mp-5795,1,0.15099415,0,0.8490058
mp-30562,0,0.3970738,1,0.60292625
mp-1038,0,0.09164136,1,0.9083585
mp-11421,1,0.007631709,0,0.9923683
mp-30562,0,0.35404503,1,0.645955
mp-999396,0,0.077932134,1,0.9220678
mp-1038,0,0.09927378,1,0.9007262
mp-1014231,1,0.3382036,0,0.66179645
mp-30562,0,0.25521594,1,0.744784
mp-30562,0,0.30424684,1,0.69575316
mp-22050,0,0.48585337,1,0.5141466
mp-503,1,0.045264862,0,0.9547351
mp-999027,1,0.20748053,0,0.7925195
mp-569054,0,0.20829214,1,0.7917078
mp-1018133,0,0.3477516,1,0.6522485
mp-9969,1,0.48100373,0,0.5189962
mp-568880,1,0.43484262,0,0.56515735
mp-1347,1,0.024548296,0,0.9754518
mp-19886,1,0.34632176,0,0.65367824
mp-999027,1,0.107036375,0,0.8929636
mp-568880,1,0.318825,0,0.68117505
mp-569802,1,0.439528,0,0.560472
mp-30562,0,0.24914014,1,0.75085986
mp-11256,1,0.047928717,0,0.9520713
mp-999027,1,0.1840359,0,0.8159641
mp-16886,0,0.30085248,1,0.6991475
