train,valid,test
mp-25470,mp-642331,mp-15217
mp-643063,mp-569141,mp-557705
mp-7785,mp-6179,mp-973395
mp-3859,mp-28716,mp-22346
mp-8861,mp-510574,mp-7317
mp-2850,mp-754604,mp-22643
mp-9374,mp-31033,mp-625397
mp-568970,mp-22538,mp-5082
mp-30024,mp-1008875,mp-570671
mp-24657,mp-862780,mp-15323
mp-560104,mp-546787,mp-977446
mp-867593,mp-1020142,mp-11697
mp-31498,mp-22680,mp-556584
mp-19870,mp-568370,mp-21673
mp-542810,mp-20446,mp-13033
mp-20133,mp-560085,mp-9571
mp-758984,mp-20234,mp-1018897
mp-998919,mp-16516,mp-14827
mp-707023,mp-30200,mp-504531
mp-722315,mp-1247,mp-555257
mp-1009016,mp-22694,mp-557
mp-503,mp-569153,mp-555625
mp-18892,mp-730154,mp-10956
mp-561081,mp-637575,mp-16220
mp-19884,mp-557282,mp-647987
mp-23219,mp-707208,mp-1349
mp-558504,mp-569941,mp-10392
mp-22790,mp-27466,mp-28731
mp-27304,mp-22877,mp-621351
mp-22704,mp-14132,mp-12525
mp-569523,mp-559831,mp-27641
mp-571184,mp-20072,mp-570107
mp-24181,mp-18727,mp-641571
mp-541164,mp-542748,mp-559026
mp-558822,mp-579552,mp-22372
mp-669377,mp-20227,mp-540785
mp-13685,mp-571209,mp-505822
mp-583615,mp-559998,mp-623837
mp-13264,mp-15371,mp-27319
mp-13254,mp-6591,mp-20352
mp-6231,mp-864954,mp-22871
mp-5660,mp-1018796,mp-6748
mp-28927,mp-17161,mp-24350
mp-504876,mp-13166,mp-2968
mp-583589,mp-28766,mp-8130
mp-900,mp-6956,mp-20017
mp-2482,mp-722988,mp-703342
mp-95,mp-30623,mp-9365
mp-643907,mp-621960,mp-605091
mp-979966,mp-570847,mp-18722
mp-555996,mp-972631,mp-23084
mp-27307,mp-28424,mp-557696
mp-683902,mp-707343,mp-567891
mp-4056,mp-9587,mp-571228
mp-7600,mp-17897,mp-22140
mp-31466,mp-4400,mp-567505
mp-758349,mp-22092,mp-505045
mp-554110,mp-708965,mp-7126
mp-11098,mp-558749,mp-1018081
mp-27359,mp-20591,mp-1908
mp-20161,mp-22856,mp-652326
mp-3653,mp-643158,mp-23071
mp-27709,mp-27302,mp-29135
mp-560791,mp-11393,mp-622086
mp-29310,mp-570140,mp-29985
mp-3736,mp-572291,mp-6494
mp-570594,mp-30988,mp-14964
mp-11786,mp-9920,mp-707039
mp-550908,mp-569426,mp-5861
mp-17129,mp-707323,mp-30366
mp-558482,mp-559053,mp-556692
mp-572741,mp-20805,mp-19458
mp-30907,mp-8483,mp-140
mp-2961,mp-720719,mp-559740
mp-27689,mp-10201,mp-31212
mp-17123,mp-4649,mp-720391
mp-542199,mp-28448,mp-662556
mp-14280,mp-13811,mp-27138
mp-41472,mp-561361,mp-31481
mp-706283,mp-21456,mp-20067
mp-510349,mp-567838,mp-682
mp-3689,mp-561449,mp-638141
mp-707307,mp-22481,mp-567368
mp-733637,mp-22215,mp-569605
mp-8927,mp-582360,mp-30898
mp-16461,mp-13069,mp-5913
mp-30408,mp-22901,mp-28207
mp-23972,mp-17791,mp-29283
mp-697926,mp-1146,mp-4438
mp-560840,mp-568011,mp-22607
mp-940,mp-9868,mp-703348
mp-8132,mp-14322,mp-6276
mp-23300,mp-4983,mp-556844
mp-566150,mp-570211,mp-553982
mp-849748,mp-18651,mp-7476
mp-866713,mp-556226,mp-636946
mp-555932,mp-29941,mp-720853
mp-21827,mp-22979,mp-15626
mp-568252,mp-553921,mp-699535
mp-561034,mp-2988,mp-3751
mp-720815,mp-561329,mp-695873
mp-16638,mp-6672,mp-707958
mp-542839,mp-9929,mp-720868
mp-31374,mp-504900,mp-740718
mp-570193,mp-28933,mp-6953
mp-12383,mp-1018101,mp-559984
mp-567204,mp-10308,mp-567220
mp-684663,mp-9906,mp-558277
mp-12510,mp-6032,mp-570167
mp-22596,mp-556283,mp-1330
mp-5706,mp-19200,mp-19513
mp-583714,mp-3991,mp-169
mp-570554,mp-651268,mp-23790
mp-554783,mp-12061,mp-18065
mp-605771,mp-3615,mp-542642
mp-698101,mp-735597,mp-571377
mp-541352,mp-8770,mp-1727
mp-7276,mp-600167,mp-1018646
mp-569580,mp-706709,mp-15619
mp-569548,mp-12495,mp-9867
mp-873,mp-419,mp-429
mp-29139,mp-708066,mp-568157
mp-7986,mp-29155,mp-555735
mp-11193,mp-19019,mp-18560
mp-622190,mp-722401,mp-632229
mp-510577,mp-672196,mp-1897
mp-667400,mp-27612,mp-10983
mp-554837,mp-680525,mp-17473
mp-13019,mp-770853,mp-23273
mp-707509,mp-540956,mp-541317
mp-641415,mp-27829,mp-10824
mp-29208,mp-999317,mp-569037
mp-22209,mp-8301,mp-7550
mp-570843,mp-13470,mp-27843
mp-18024,mp-4353,mp-554388
mp-999357,mp-15021,mp-28421
mp-19076,mp-28143,mp-567362
mp-569398,mp-556050,mp-29940
mp-619905,mp-672275,mp-736272
mp-541000,mp-542461,mp-474
mp-558350,mp-13308,mp-30674
mp-721813,mp-19052,mp-540818
mp-21223,mp-11974,mp-553432
mp-4341,mp-17193,mp-24710
mp-558798,mp-540755,mp-29573
mp-28280,mp-561218,mp-540998
mp-19349,mp-569089,mp-14069
mp-570262,mp-10383,mp-706489
mp-28123,mp-11373,mp-541600
mp-560590,mp-30852,mp-759686
mp-866302,mp-10870,mp-27522
mp-558972,mp-5670,mp-30389
mp-28051,mp-34903,mp-30083
mp-561472,mp-19362,mp-22407
mp-13803,mp-735481,mp-19400
mp-4855,mp-356,mp-643793
mp-570316,mp-9397,mp-19905
mp-4187,mp-10351,mp-602355
mp-23558,mp-705495,mp-558023
mp-605691,mp-643659,mp-21281
mp-570629,mp-31447,mp-8147
mp-9592,mp-1392,mp-510579
mp-21865,mp-505526,mp-555893
mp-653922,mp-555325,mp-722501
mp-641526,mp-29595,mp-29790
mp-9364,mp-3516,mp-556905
mp-568782,mp-558165,mp-581361
mp-17803,mp-1345,mp-956
mp-864627,mp-2095,mp-651051
mp-29717,mp-11121,mp-17315
mp-30350,mp-505321,mp-8398
mp-558570,mp-555920,mp-561051
mp-1020031,mp-19866,mp-995122
mp-568903,mp-561001,mp-4419
mp-17168,mp-16118,mp-640950
mp-24113,mp-560773,mp-554401
mp-643378,mp-570232,mp-1288
mp-10856,mp-42,mp-10226
mp-556875,mp-13190,mp-505597
mp-2759,mp-18806,mp-2373
mp-913,mp-458,mp-28877
mp-1007918,mp-1458,mp-554505
mp-556577,mp-23871,mp-29606
mp-10051,mp-24130,mp-28252
mp-30086,mp-974434,mp-505268
mp-24009,mp-14019,mp-559617
mp-758660,mp-21194,mp-1020118
mp-19965,mp-573324,mp-2116
mp-734124,mp-11675,mp-541743
mp-541193,mp-559755,mp-603633
mp-996,mp-6600,mp-557123
mp-5899,mp-17597,mp-1018781
mp-561465,mp-1017582,mp-622183
mp-30354,mp-17438,mp-557366
mp-706579,mp-29492,mp-5702
mp-27925,mp-11251,mp-27482
mp-560240,mp-698222,mp-21075
mp-9529,mp-30591,mp-9206
mp-12490,mp-706594,mp-4854
mp-24761,mp-4214,mp-6300
mp-555159,mp-22816,mp-580541
mp-2538,mp-10848,mp-1996
mp-29836,mp-27352,mp-28729
mp-554724,mp-29399,mp-556375
mp-4810,mp-28975,mp-16164
mp-22258,mp-541338,mp-735514
mp-699229,mp-21922,mp-696659
mp-721217,mp-504776,mp-7439
mp-557569,mp-31239,mp-647116
mp-945,mp-13384,mp-29107
mp-541751,mp-622110,mp-18331
mp-24193,mp-18303,mp-31202
mp-20581,mp-7062,mp-568592
mp-4913,mp-13141,mp-12890
mp-505603,mp-1020642,mp-706408
mp-680159,mp-601326,mp-9889
mp-4583,mp-28901,mp-27910
mp-21366,mp-24536,mp-30541
mp-142,mp-23870,mp-29746
mp-565597,mp-11069,mp-569590
mp-5170,mp-30952,mp-2454
mp-2341,mp-3053,mp-556300
mp-680061,mp-567441,mp-568692
mp-755652,mp-707515,mp-12549
mp-570757,mp-1259,mp-17874
mp-720494,mp-720376,mp-11623
mp-16252,mp-12856,mp-20466
mp-17864,mp-510346,mp-541104
mp-706278,mp-29521,mp-570983
mp-1018825,mp-634657,mp-20903
mp-179,mp-561300,mp-20356
mp-7070,mp-12755,mp-850068
mp-554803,mp-31455,mp-976349
mp-6172,mp-554055,mp-29849
mp-634812,mp-820,mp-558831
mp-985707,mp-571347,mp-18848
mp-22310,mp-1913,mp-555850
mp-16237,mp-555212,mp-24510
mp-601202,mp-4626,mp-504854
mp-696992,mp-560163,mp-9415
mp-27236,mp-867175,mp-29237
mp-18471,mp-10412,mp-561549
mp-3040,mp-722346,mp-648843
mp-10415,mp-570079,mp-559851
mp-559612,mp-580744,mp-504625
mp-867,mp-24076,mp-568306
mp-17714,mp-559493,mp-7744
mp-560725,mp-23484,mp-540809
mp-745012,mp-9573,mp-558754
mp-12177,mp-559482,mp-560022
mp-30990,mp-554140,mp-707822
mp-570216,mp-16608,mp-8837
mp-541550,mp-20791,mp-569752
mp-568410,mp-1652,mp-972187
mp-1658,mp-974451,mp-1836
mp-510421,mp-641575,mp-1042
mp-18257,mp-22420,mp-654299
mp-1018700,mp-569343,mp-22139
mp-22614,mp-553981,mp-8882
mp-614006,mp-22869,mp-5905
mp-667314,mp-556209,mp-504491
mp-21068,mp-23991,mp-8926
mp-20626,mp-555462,mp-559023
mp-680482,mp-13236,mp-557654
mp-3267,mp-9989,mp-6854
mp-13938,mp-17234,mp-582295
mp-542445,mp-1017579,mp-15225
mp-7423,mp-1755,mp-654374
mp-558466,mp-2057,mp-24340
mp-560196,mp-28423,mp-24694
mp-8378,mp-14306,mp-683652
mp-31421,mp-555164,mp-5587
mp-541071,mp-510080,mp-570268
mp-5475,mp-18256,mp-757886
mp-12398,mp-696655,mp-23866
mp-30545,mp-9956,mp-24337
mp-642642,mp-556953,mp-8436
mp-569754,mp-560246,mp-999198
mp-9819,mp-1018116,mp-556400
mp-560956,mp-640067,mp-22435
mp-22926,mp-559252,mp-554014
mp-1019524,mp-29646,mp-542537
mp-556869,mp-5091,mp-648988
mp-28376,mp-505306,mp-8335
mp-23222,mp-557918,mp-570127
mp-17510,mp-3075,mp-5328
mp-704981,mp-2955,mp-504678
mp-10092,mp-542207,mp-28242
mp-4445,mp-28185,mp-505543
mp-605735,mp-571531,mp-559722
mp-505807,mp-18134,mp-554747
mp-20509,mp-30058,mp-1019785
mp-555919,mp-28219,mp-709031
mp-1145,mp-12645,mp-1498
mp-21116,mp-542435,mp-697044
mp-28405,mp-559764,mp-18258
mp-27472,mp-1001828,mp-12387
mp-543036,mp-570466,mp-2883
mp-17982,mp-559700,mp-18876
mp-556041,mp-31251,mp-12750
mp-12924,mp-569257,mp-541771
mp-7461,mp-4630,mp-569892
mp-6867,mp-21457,mp-541353
mp-755471,mp-580155,mp-27411
mp-638226,mp-15039,mp-569833
mp-40674,mp-13765,mp-707530
mp-560145,mp-18950,mp-642729
mp-560582,mp-601285,mp-20671
mp-540782,mp-694,mp-680120
mp-505025,mp-559376,mp-24095
mp-555104,mp-4998,mp-709549
mp-505418,mp-20698,mp-555156
mp-559744,mp-20184,mp-6101
mp-510011,mp-15559,mp-23331
mp-567756,mp-28939,mp-643257
mp-7880,mp-13871,mp-556585
mp-605650,mp-698033,mp-707376
mp-2303,mp-558244,mp-24240
mp-572271,mp-6909,mp-1018121
mp-553887,mp-721692,mp-29264
mp-23860,mp-672195,mp-19829
mp-1020159,mp-2284,mp-20351
mp-554206,mp-1907,mp-706386
mp-31059,mp-568792,mp-11080
mp-27953,mp-23704,mp-567348
mp-560121,mp-999072,mp-4663
mp-3469,mp-667273,mp-29172
mp-541538,mp-29309,mp-423
mp-604378,mp-30498,mp-642653
mp-4995,mp-569106,mp-22044
mp-5080,mp-12769,mp-540625
mp-17062,mp-33,mp-17349
mp-962,mp-15056,mp-9368
mp-25275,mp-29725,mp-645962
mp-18008,mp-555327,mp-6663
mp-18712,mp-22389,mp-19269
mp-14070,mp-2531,mp-622203
mp-560861,mp-2324,mp-10109
mp-28473,mp-21564,mp-555779
mp-13674,mp-866306,mp-555143
mp-974724,mp-14892,mp-28385
mp-554706,mp-554108,mp-22841
mp-13948,mp-541147,mp-9024
mp-3084,mp-395,mp-541057
mp-22300,mp-559904,mp-770563
mp-568422,mp-8978,mp-572726
mp-10141,mp-19262,mp-643043
mp-636827,mp-745158,mp-28201
mp-28089,mp-13265,mp-6606
mp-23772,mp-567077,mp-20193
mp-690650,mp-559356,mp-541753
mp-1006880,mp-705134,mp-560045
mp-30791,mp-15789,mp-9146
mp-529,mp-27578,mp-8430
mp-28505,mp-10783,mp-1018712
mp-1373,mp-1018087,mp-2532
mp-1582,mp-730691,mp-3428
mp-22924,mp-1009823,mp-2932
mp-12710,mp-2592,mp-5038
mp-556341,mp-30426,mp-4856
mp-6096,mp-759030,mp-29186
mp-17697,mp-560625,mp-542302
mp-3441,mp-28833,mp-554390
mp-569569,mp-1008832,mp-543001
mp-559498,mp-568846,mp-556120
mp-5365,mp-767297,mp-571134
mp-558739,mp-616255,mp-558293
mp-699317,mp-570778,mp-505489
mp-16990,mp-999274,mp-556001
mp-978099,mp-8281,mp-542728
mp-155,mp-12117,mp-554856
mp-30068,mp-1018126,mp-31454
mp-15575,mp-557512,mp-13250
mp-2914,mp-1018045,mp-1020160
mp-15144,mp-561273,mp-6595
mp-13034,mp-13221,mp-15257
mp-572902,mp-555165,mp-568800
mp-635460,mp-558807,mp-631194
mp-582540,mp-1296,mp-23522
mp-29456,mp-22769,mp-568748
mp-505223,mp-698397,mp-555293
mp-2625,mp-3334,mp-721727
mp-3942,mp-571433,mp-568263
mp-619486,mp-23803,mp-20621
mp-850086,mp-604702,mp-28235
mp-558263,mp-23933,mp-570452
mp-1019888,mp-699501,mp-22156
mp-18913,mp-620069,mp-30666
mp-27342,mp-23623,mp-560458
mp-569770,mp-571271,mp-695829
mp-707469,mp-562435,mp-16842
mp-1143,mp-1018812,mp-20982
mp-1008965,mp-449,mp-1020106
mp-8347,mp-8858,mp-555505
mp-8591,mp-11508,mp-11359
mp-12084,mp-669382,mp-349
mp-1014,mp-4993,mp-4559
mp-22477,mp-11854,mp-22005
mp-4229,mp-11537,mp-229
mp-706612,mp-22561,mp-568866
mp-541687,mp-19922,mp-570097
mp-707247,mp-555012,mp-555752
mp-643371,mp-20394,mp-10736
mp-574458,mp-558765,mp-23738
mp-603694,mp-5936,mp-19194
mp-721471,mp-18518,mp-3788
mp-542996,mp-29986,mp-1894
mp-558645,mp-568628,mp-2565
mp-23069,mp-3998,mp-2399
mp-14368,mp-14047,mp-558724
mp-16526,mp-2351,mp-570929
mp-11455,mp-862668,mp-559240
mp-28024,mp-571293,mp-2460
mp-707484,mp-1020629,mp-1017439
mp-16992,mp-2818,mp-735531
mp-698158,mp-7874,mp-12964
mp-7951,mp-978102,mp-567719
mp-13116,mp-569173,mp-16819
mp-27234,mp-25991,mp-30814
mp-18112,mp-29894,mp-15107
mp-999378,mp-30738,mp-2232
mp-22925,mp-558475,mp-1018707
mp-556347,mp-973217,mp-8597
mp-607230,mp-12661,mp-558834
mp-505627,mp-555112,mp-607267
mp-733849,mp-30133,mp-555918
mp-23995,mp-557331,mp-24308
mp-18287,mp-13121,mp-607841
mp-4279,mp-541138,mp-559155
mp-15543,mp-2621,mp-567731
mp-540584,mp-27202,mp-19047
mp-569347,mp-11345,mp-557560
mp-2072,mp-755523,mp-23052
mp-1148,mp-540773,mp-3833
mp-30783,mp-31286,mp-4384
mp-554901,mp-23712,mp-867340
mp-22441,mp-558796,mp-556367
mp-1018810,mp-555598,mp-20963
