train,valid,test
mp-11243,mp-6660,mp-696956
mp-1272,mp-9588,mp-8804
mp-834,mp-4628,mp-5588
mp-643367,mp-30005,mp-4226
mp-567927,mp-640108,mp-21251
mp-9947,mp-30840,mp-568924
mp-11718,mp-555014,mp-641965
mp-18848,mp-9371,mp-23
mp-12491,mp-715566,mp-553896
mp-1018799,mp-10461,mp-2604
mp-18288,mp-3748,mp-23711
mp-9909,mp-11750,mp-29529
mp-972048,mp-558953,mp-1007758
mp-570019,mp-29055,mp-27517
mp-10195,mp-23251,mp-9723
mp-12787,mp-3847,mp-19212
mp-2098,mp-556999,mp-22912
mp-27682,mp-19394,mp-31119
mp-11660,mp-570988,mp-31273
mp-13852,mp-592,mp-13573
mp-8351,mp-1971,mp-12902
mp-2931,mp-2698,mp-8335
mp-624187,mp-28266,mp-3489
mp-557772,mp-1018807,mp-6621
mp-2525,mp-21019,mp-556066
mp-13079,mp-541677,mp-19745
mp-6227,mp-29216,mp-559208
mp-10379,mp-20692,mp-13002
mp-6520,mp-22258,mp-542208
mp-973088,mp-23262,mp-7105
mp-570403,mp-553248,mp-3593
mp-208,mp-12015,mp-29365
mp-31185,mp-649950,mp-695799
mp-573658,mp-219,mp-558796
mp-698301,mp-567636,mp-13182
mp-1018687,mp-556233,mp-5677
mp-21374,mp-3779,mp-11248
mp-12900,mp-642662,mp-9439
mp-1463,mp-2537,mp-11374
mp-13073,mp-24595,mp-18388
mp-20465,mp-11902,mp-2798
mp-22282,mp-669358,mp-8957
mp-696931,mp-27291,mp-425
mp-8390,mp-12815,mp-10866
mp-510133,mp-2914,mp-27544
mp-558219,mp-27205,mp-3106
mp-22937,mp-15626,mp-27916
mp-636476,mp-567769,mp-10728
mp-14785,mp-2828,mp-605867
mp-4279,mp-23162,mp-1018751
mp-31328,mp-23245,mp-10899
mp-22921,mp-972051,mp-31517
mp-22260,mp-16479,mp-7262
mp-1018712,mp-22261,mp-1609
mp-3466,mp-10965,mp-11212
mp-6908,mp-7945,mp-20388
mp-27167,mp-567130,mp-13915
mp-15359,mp-917,mp-14112
mp-6152,mp-1097,mp-6680
mp-3881,mp-625830,mp-11267
mp-23054,mp-28346,mp-561490
mp-672333,mp-5709,mp-866612
mp-23292,mp-9819,mp-680530
mp-4170,mp-1018949,mp-879
mp-3867,mp-984555,mp-9907
mp-14025,mp-943492,mp-974650
mp-2172,mp-1018124,mp-67
mp-30034,mp-2847,mp-11472
mp-499,mp-672654,mp-1020628
mp-2626,mp-21190,mp-8753
mp-1006371,mp-543047,mp-20742
mp-7899,mp-744472,mp-643248
mp-505164,mp-9961,mp-3679
mp-9978,mp-20190,mp-22582
mp-558836,mp-22980,mp-1618
mp-561942,mp-554105,mp-28878
mp-617266,mp-560128,mp-697096
mp-2180,mp-31052,mp-6938
mp-12699,mp-5348,mp-20263
mp-567944,mp-12368,mp-20449
mp-27566,mp-18981,mp-1019897
mp-647452,mp-20507,mp-22267
mp-1018177,mp-30164,mp-568011
mp-8220,mp-23309,mp-558538
mp-44,mp-128,mp-21337
mp-3336,mp-7198,mp-4194
mp-30763,mp-560555,mp-9587
mp-21429,mp-29465,mp-28881
mp-1585,mp-23856,mp-30324
mp-10692,mp-144,mp-29559
mp-646507,mp-650023,mp-562065
mp-16516,mp-632319,mp-9705
mp-20480,mp-568940,mp-4978
mp-11227,mp-28928,mp-23778
mp-28768,mp-4840,mp-29178
mp-636328,mp-1000,mp-672645
mp-23522,mp-542772,mp-11511
mp-4608,mp-28158,mp-570112
mp-555741,mp-12707,mp-15604
mp-567341,mp-10301,mp-20180
mp-23705,mp-1129,mp-932
mp-118,mp-1018073,mp-27280
mp-5773,mp-10756,mp-604378
mp-19367,mp-572929,mp-1718
mp-21387,mp-504935,mp-542154
mp-4887,mp-28261,mp-680112
mp-4158,mp-31080,mp-551918
mp-558943,mp-1320,mp-21061
mp-1009018,mp-505019,mp-1341
mp-559459,mp-9789,mp-707176
mp-570050,mp-29674,mp-4538
mp-7310,mp-6092,mp-29113
mp-639263,mp-7112,mp-24041
mp-635469,mp-19727,mp-1018727
mp-559643,mp-19913,mp-23269
mp-2794,mp-11651,mp-31379
mp-570677,mp-3792,mp-636368
mp-662523,mp-644739,mp-29976
mp-28606,mp-554159,mp-9810
mp-29362,mp-7435,mp-638051
mp-1036,mp-3465,mp-1552
mp-569382,mp-5175,mp-12509
mp-1860,mp-7233,mp-9497
mp-6134,mp-505807,mp-5031
mp-569687,mp-28364,mp-11549
mp-10902,mp-2432,mp-20360
mp-7771,mp-30661,mp-30613
mp-561456,mp-18795,mp-3614
mp-5339,mp-1730,mp-4156
mp-505511,mp-8003,mp-11398
mp-14206,mp-7841,mp-3316
mp-662499,mp-1335,mp-6704
mp-1392,mp-600,mp-15779
mp-5454,mp-12598,mp-583034
mp-647,mp-570258,mp-1001015
mp-12100,mp-5125,mp-8044
mp-10421,mp-558393,mp-1861
mp-641564,mp-7365,mp-359
mp-23896,mp-158,mp-8948
mp-12382,mp-23017,mp-11743
mp-807,mp-30338,mp-6799
mp-567354,mp-31178,mp-20886
mp-11754,mp-6094,mp-14434
mp-556798,mp-7590,mp-27710
mp-19747,mp-10660,mp-1798
mp-31481,mp-22546,mp-18993
mp-647343,mp-21471,mp-24201
mp-241,mp-1473,mp-43
mp-613652,mp-230,mp-9768
mp-11388,mp-1018739,mp-15697
mp-570,mp-1774,mp-27648
mp-4841,mp-22536,mp-571617
mp-554119,mp-1018792,mp-8098
mp-643158,mp-23465,mp-1894
mp-30719,mp-10270,mp-28563
mp-999339,mp-1999,mp-23313
mp-16852,mp-21371,mp-618309
mp-22027,mp-28328,mp-15922
mp-2524,mp-569120,mp-643801
mp-20623,mp-8208,mp-19330
mp-567909,mp-554200,mp-29364
mp-644533,mp-23703,mp-22858
mp-5778,mp-553243,mp-571519
mp-17747,mp-28277,mp-30342
mp-571609,mp-974,mp-3611
mp-568371,mp-11012,mp-82
mp-21220,mp-561412,mp-570779
mp-569007,mp-696347,mp-863730
mp-30165,mp-3378,mp-408
mp-29312,mp-978090,mp-10960
mp-9868,mp-6926,mp-560188
mp-6456,mp-1423,mp-11503
mp-31502,mp-19891,mp-9839
mp-2264,mp-602268,mp-22621
mp-864619,mp-5854,mp-7173
mp-11526,mp-1158,mp-554952
mp-572903,mp-6983,mp-9126
mp-2560,mp-20536,mp-15953
mp-12752,mp-1541,mp-23160
mp-21508,mp-556120,mp-27944
mp-13094,mp-14853,mp-28430
mp-1958,mp-768613,mp-31029
mp-21163,mp-672184,mp-567221
mp-11581,mp-624190,mp-4613
mp-30582,mp-881,mp-23995
mp-582751,mp-567314,mp-22817
mp-1018737,mp-2051,mp-570290
mp-471,mp-568610,mp-5898
mp-626256,mp-624417,mp-8483
mp-30311,mp-20499,mp-17244
mp-557597,mp-551250,mp-20342
mp-11261,mp-29428,mp-6204
mp-641509,mp-24522,mp-4697
mp-5052,mp-3771,mp-559264
mp-8922,mp-2450,mp-1001012
mp-3709,mp-4152,mp-698349
mp-571454,mp-10132,mp-6476
mp-582295,mp-28898,mp-10618
mp-567404,mp-696736,mp-752414
mp-12351,mp-20321,mp-22611
mp-504574,mp-6368,mp-14466
mp-600622,mp-8102,mp-1139
mp-3275,mp-7958,mp-644118
mp-21366,mp-505078,mp-998911
mp-27367,mp-5666,mp-1018892
mp-557865,mp-571233,mp-617
mp-14968,mp-28319,mp-29979
mp-697253,mp-30574,mp-18253
mp-30491,mp-4784,mp-9969
mp-10485,mp-10895,mp-28810
mp-4377,mp-5244,mp-569054
mp-8125,mp-3340,mp-11082
mp-556418,mp-23291,mp-9272
mp-771,mp-2490,mp-9741
mp-20231,mp-11840,mp-1018025
mp-4771,mp-743614,mp-11194
mp-8539,mp-571538,mp-5473
mp-21449,mp-569931,mp-23702
mp-27124,mp-10120,mp-567197
mp-2278,mp-15012,mp-1563
mp-8418,mp-12951,mp-561167
mp-9369,mp-18784,mp-12777
mp-2580,mp-19399,mp-353
mp-8909,mp-8590,mp-582357
mp-1556,mp-9010,mp-3862
mp-31756,mp-1770,mp-5967
mp-4326,mp-5611,mp-9037
mp-31102,mp-1175,mp-569501
mp-7475,mp-624909,mp-556375
mp-542996,mp-21476,mp-8688
mp-554343,mp-569776,mp-20247
mp-23003,mp-18177,mp-707530
mp-6574,mp-23683,mp-6376
mp-540771,mp-505622,mp-6500
mp-3469,mp-539,mp-2064
mp-1194,mp-30844,mp-27162
mp-21381,mp-11532,mp-11790
mp-2501,mp-18705,mp-21430
mp-5402,mp-696288,mp-10464
mp-21847,mp-3494,mp-20402
mp-7331,mp-569894,mp-11078
mp-24285,mp-10709,mp-1719
mp-562263,mp-568299,mp-5221
mp-2926,mp-29169,mp-977395
mp-541989,mp-24205,mp-10106
mp-1315,mp-370,mp-21447
mp-22666,mp-3328,mp-19795
mp-23205,mp-567981,mp-567144
mp-624400,mp-555093,mp-27941
mp-568170,mp-335,mp-976587
mp-30754,mp-12003,mp-21462
mp-696384,mp-20462,mp-21511
mp-3708,mp-1638,mp-30685
mp-22971,mp-29912,mp-6119
mp-569558,mp-7194,mp-653579
mp-10581,mp-568761,mp-1550
mp-1029,mp-19240,mp-2760
mp-16137,mp-16837,mp-7159
mp-16565,mp-28592,mp-553994
mp-560333,mp-8689,mp-30366
mp-27768,mp-744637,mp-10998
mp-5936,mp-579544,mp-8973
mp-23288,mp-22430,mp-27386
mp-21364,mp-568539,mp-549
mp-7565,mp-7827,mp-30086
mp-7422,mp-570199,mp-28945
mp-2783,mp-2825,mp-505572
mp-17155,mp-5323,mp-10687
mp-1018107,mp-8190,mp-2449
mp-22419,mp-19306,mp-545847
mp-9925,mp-14763,mp-13072
mp-3574,mp-16523,mp-30923
mp-7061,mp-1598,mp-2370
mp-31468,mp-13427,mp-24423
mp-569341,mp-31421,mp-10971
mp-1020633,mp-505391,mp-9600
mp-556738,mp-7808,mp-558689
mp-8281,mp-2762,mp-6915
mp-28208,mp-6978,mp-29657
mp-559911,mp-861906,mp-9937
mp-12762,mp-6278,mp-1008632
mp-2997,mp-567948,mp-7926
mp-12549,mp-24589,mp-29645
mp-27998,mp-1001836,mp-546449
mp-24152,mp-16052,mp-13829
mp-7050,mp-571322,mp-567905
mp-697077,mp-15236,mp-579605
mp-571188,mp-640266,mp-19055
mp-30876,mp-16370,mp-519
mp-972406,mp-1099,mp-556639
mp-16031,mp-17638,mp-5353
mp-2297,mp-18816,mp-27952
mp-561203,mp-555510,mp-10039
mp-30200,mp-20902,mp-18815
mp-28741,mp-30239,mp-557115
mp-921,mp-10069,mp-12672
mp-22133,mp-23489,mp-560
mp-1853,mp-9784,mp-22343
mp-18735,mp-9769,mp-1089
mp-542152,mp-126,mp-9498
mp-7180,mp-30877,mp-18713
mp-22604,mp-156,mp-30317
mp-12977,mp-504729,mp-2752
mp-23484,mp-12964,mp-6984
mp-20158,mp-569267,mp-1018946
mp-19395,mp-7576,mp-12093
mp-569051,mp-696308,mp-4903
mp-628643,mp-862811,mp-8490
mp-1929,mp-861587,mp-1018798
mp-570723,mp-27317,mp-322
mp-5683,mp-505055,mp-551675
mp-30723,mp-28274,mp-972
mp-19803,mp-30606,mp-23231
mp-24428,mp-10901,mp-541155
mp-12666,mp-571485,mp-2809
mp-3344,mp-561481,mp-4229
mp-7157,mp-4492,mp-850
mp-9324,mp-10023,mp-3
mp-627397,mp-27221,mp-14651
mp-21464,mp-20346,mp-288
mp-800,mp-704731,mp-3570
mp-10413,mp-12635,mp-554191
mp-14070,mp-30572,mp-27258
mp-28611,mp-530,mp-540795
mp-20383,mp-3207,mp-24433
mp-568018,mp-11359,mp-31428
mp-2694,mp-3647,mp-7848
mp-4308,mp-568002,mp-958
mp-1068,mp-13234,mp-605374
mp-20519,mp-13981,mp-4384
mp-29419,mp-27702,mp-3289
mp-11771,mp-2313,mp-20950
mp-17004,mp-549333,mp-28572
mp-569885,mp-1831,mp-265
mp-7444,mp-636198,mp-21426
mp-28012,mp-29481,mp-1018151
mp-10778,mp-2286,mp-3849
mp-18721,mp-20924,mp-646750
mp-570001,mp-1081,mp-11582
mp-1731,mp-22864,mp-20439
mp-13610,mp-22488,mp-558636
mp-8236,mp-1683,mp-13542
mp-505215,mp-28645,mp-571554
mp-841,mp-9212,mp-552120
mp-809,mp-654374,mp-4563
mp-569114,mp-642659,mp-567299
mp-7064,mp-1994,mp-510657
mp-20418,mp-1924,mp-8789
mp-568961,mp-9719,mp-20146
mp-8710,mp-28324,mp-19208
mp-6124,mp-2579,mp-567483
mp-214,mp-865259,mp-10486
mp-1018159,mp-567573,mp-23085
mp-23355,mp-560923,mp-542569
mp-11521,mp-555296,mp-11453
mp-9391,mp-665,mp-2971
mp-1018804,mp-151,mp-7018
mp-862605,mp-5504,mp-1667
mp-20717,mp-541152,mp-669914
mp-5752,mp-672371,mp-6661
mp-28003,mp-1824,mp-1818
mp-5710,mp-6246,mp-990
mp-1453,mp-5284,mp-30099
mp-554072,mp-5222,mp-30614
mp-10059,mp-20463,mp-513
mp-568782,mp-12010,mp-3915
mp-7038,mp-20196,mp-29741
mp-569677,mp-1771,mp-976368
mp-3037,mp-12118,mp-27138
mp-12682,mp-7116,mp-5166
mp-2454,mp-14116,mp-7599
mp-542024,mp-5869,mp-32309
mp-9425,mp-17141,mp-11583
mp-2642,mp-652046,mp-570803
mp-561200,mp-21177,mp-4438
mp-554015,mp-985556,mp-3541
mp-552098,mp-22146,mp-402
mp-1018103,mp-3250,mp-8216
mp-31348,mp-9731,mp-20849
mp-1018671,mp-562631,mp-10051
mp-552934,mp-30068,mp-6961
mp-20253,mp-13326,mp-541875
mp-569850,mp-107,mp-17009
mp-30293,mp-672248,mp-16518
mp-27358,mp-542158,mp-672221
mp-554337,mp-11764,mp-2866
mp-557437,mp-541451,mp-22007
mp-388,mp-136,mp-21340
mp-10853,mp-568116,mp-570308
mp-14091,mp-29302,mp-1018047
mp-569333,mp-21135,mp-23846
mp-11594,mp-10014,mp-22902
mp-12908,mp-6015,mp-567836
mp-756758,mp-15551,mp-32310
mp-22752,mp-2114,mp-2142
mp-5326,mp-21443,mp-11667
mp-545359,mp-19162,mp-8123
mp-22447,mp-2280,mp-22877
mp-541487,mp-4302,mp-8323
mp-546295,mp-206,mp-15862
mp-15123,mp-1800,mp-7608
mp-728,mp-3456,mp-572546
mp-8414,mp-31103,mp-29212
mp-2773,mp-4426,mp-11228
mp-475,mp-7224,mp-2006
mp-8090,mp-14435,mp-5659
mp-555269,mp-28424,mp-5200
mp-567730,mp-568696,mp-19080
mp-29719,mp-20481,mp-29642
mp-19044,mp-10746,mp-580886
mp-560458,mp-27638,mp-570589
mp-28256,mp-5590,mp-567271
mp-22990,mp-22811,mp-15639
mp-557754,mp-558500,mp-3395
mp-622210,mp-2863,mp-555345
mp-753183,mp-22935,mp-567878
mp-5788,mp-32,mp-546679
mp-6211,mp-16488,mp-616218
mp-28952,mp-650513,mp-567722
mp-30424,mp-11373,mp-11535
mp-1106,mp-4906,mp-10607
mp-30830,mp-19961,mp-10555
mp-571499,mp-712,mp-8963
mp-558753,mp-568655,mp-23797
mp-568056,mp-570196,mp-571506
mp-2008,mp-505424,mp-19341
mp-20671,mp-10392,mp-5369
mp-19373,mp-122,mp-570832
mp-558749,mp-510099,mp-568139
mp-3040,mp-11397,mp-29474
mp-18305,mp-680570,mp-571279
mp-540905,mp-23690,mp-20907
mp-361,mp-556108,mp-6333
mp-58,mp-557807,mp-553946
mp-23247,mp-10038,mp-30683
mp-8794,mp-552191,mp-29504
mp-624200,mp-17185,mp-3190
mp-998918,mp-9703,mp-22217
mp-14304,mp-19824,mp-550
mp-9953,mp-556275,mp-17633
mp-27564,mp-1980,mp-12737
mp-549728,mp-10468,mp-9463
mp-551685,mp-604153,mp-28910
mp-441,mp-2503,mp-13549
